open,high,low,pricetoearningratio,pricetosalesratio,close,closet1
-0.274983158,-0.199994267,-0.204947104,-0.236279942,-0.306382922,-0.132562332,-0.182082432
-0.265294205,-0.300378914,-0.245619518,-0.387565066,-0.459465792,-0.205019839,-0.300990926
-0.211197549,-0.196781959,-0.219555971,-0.245231725,-0.315728097,-0.324410049,-0.18946296
-0.115115428,-0.155825023,-0.188346119,-0.306999024,-0.378029265,-0.212430266,-0.237846416
-0.149834177,-0.183129647,-0.13190277,-0.253288329,-0.323293239,-0.261009731,-0.19520337
-0.128841445,-0.169477335,-0.256410158,-0.288200281,-0.359338914,-0.218193931,-0.223085361
-0.146604526,-0.090775771,-0.183365824,-0.063510541,-0.132384659,-0.246188877,-0.046772767
-0.104619062,-0.086760385,-0.145183558,-0.282829211,-0.353998814,-0.069162014,-0.218985068
0.069782098,0.083491976,0.000905111,-0.064405719,-0.133274676,-0.242071973,-0.047592825
-0.094930109,-0.006452667,-0.021506219,-0.016066094,-0.084768766,-0.069985395,-0.009870131
-0.043255691,-0.043394218,-0.02067617,-0.084099641,-0.153300051,-0.03210988,-0.063173938
-0.06344101,-0.094068388,-0.063008682,-0.05903465,-0.127934576,-0.085629629,-0.043492533
0.045559715,-0.029741906,-0.035617056,-0.149447653,-0.218716278,-0.065868491,-0.11401757
-0.213619787,-0.040181909,-0.141863361,-0.009799846,-0.07853865,-0.136679236,-0.004949779
-0.203930834,-0.220071197,-0.263050552,-0.435904691,-0.507971701,-0.027169595,-0.338713621
-0.241071821,-0.221677351,-0.262220503,-0.224642625,-0.294812705,-0.362285564,-0.173061788
0.09642672,0.020851957,-0.126922474,-0.133334444,-0.203140986,-0.195962651,-0.101716692
0.068974685,0.016836571,-0.018186022,0.016160323,-0.052283157,-0.124328525,0.015551685
-0.045677929,-0.092381925,-0.237319025,-0.106479097,-0.175550469,-0.006585076,-0.080395169
0.717327145,0.638418306,0.054028263,0.266810232,0.200036574,-0.102920625,0.211545685
0.722171622,0.666526007,0.749609539,0.895225361,0.833728455,0.190202925,0.704400891
0.703601128,0.701861403,0.756249933,0.935508382,0.873779206,0.685054761,0.735563117
0.613170897,0.688209091,0.698146486,0.838829132,0.776767387,0.71634323,0.660117728
0.648697059,0.578990595,0.671584909,0.785118437,0.722031361,0.6405922,0.617474681
0.587333688,0.659298313,0.624272102,0.943564987,0.882234364,0.597776401,0.742123585
0.554229764,0.489045951,0.568658802,0.706342751,0.642819876,0.722930276,0.555970288
0.618822787,0.556504434,0.58193959,0.662479017,0.598764049,0.536022844,0.521527828
0.574415084,0.577384441,0.660794269,0.757367911,0.694440843,0.501440852,0.596153158
0.621245025,0.562125974,0.659134171,0.751101664,0.688210727,0.576368501,0.591232807
0.59944488,0.570959823,0.635892791,0.777957011,0.715801244,0.571428217,0.61255433
0.60832642,0.556504434,0.606011018,0.723351138,0.659730193,0.592836116,0.569091225
0.693912175,0.615129068,0.659134171,0.770795585,0.708236102,0.549196936,0.60681392
0.621245025,0.589430598,0.6259322,0.791384685,0.728261477,0.587072451,0.622395033
0.571185433,0.541245968,0.602690821,0.693810256,0.630359642,0.602716685,0.546129585
0.400821337,0.489849028,0.478183433,0.639204383,0.575623616,0.526142275,0.503486539
0.588948514,0.588627521,0.360316439,0.399296613,0.333984085,0.483326475,0.315693125
